Ученики,Предметы,Оценки
Иванов,Математика,5
Иванов,Литература,5
Иванов,Физика,3
Иванов,История,5
Иванов,Биология,5
Петров,Математика,5
Петров,Литература,5
Петров,Физика,5
Петров,История,2
Петров,Биология,4
Сидоров,Математика,2
Сидоров,Литература,4
Сидоров,Физика,2
Сидоров,История,2
Сидоров,Биология,4
Кузнецов,Математика,5
Кузнецов,Литература,3
Кузнецов,Физика,5
Кузнецов,История,2
Кузнецов,Биология,5
Смирнов,Математика,4
Смирнов,Литература,3
Смирнов,Физика,5
Смирнов,История,5
Смирнов,Биология,5
Васильев,Математика,5
Васильев,Литература,4
Васильев,Физика,5
Васильев,История,4
Васильев,Биология,2
Михайлов,Математика,4
Михайлов,Литература,3
Михайлов,Физика,5
Михайлов,История,3
Михайлов,Биология,4
Фёдоров,Математика,2
Фёдоров,Литература,2
Фёдоров,Физика,5
Фёдоров,История,3
Фёдоров,Биология,3
Волков,Математика,4
Волков,Литература,4
Волков,Физика,2
Волков,История,5
Волков,Биология,2
Алексеев,Математика,2
Алексеев,Литература,3
Алексеев,Физика,4
Алексеев,История,5
Алексеев,Биология,5
